date,credit,debit,balance
12/30/16,137855,109248,28606
10/28/16,3000,170,2829
10/29/16,3000,392,2607
12/28/16,125955,103493,22461
10/30/16,3000,662,2337
1/12/16,14700,6649,8050
10/31/16,3000,876,2123
12/17/16,86305,64420,21884
11/01/16,6000,1067,4932
11/02/16,6000,1432,4567
11/03/16,6000,1791,4208
11/04/16,6000,2112,3887
12/16/16,80450,61092,19357
11/05/16,6000,2523,3476
11/06/16,6000,3017,2982
11/07/16,7000,3602,3397
12/23/16,107455,85572,21882
11/08/16,7000,4096,2903
11/09/16,7950,4483,3466
11/10/16,10850,4985,5864
11/11/16,11850,5735,6114
12/21/16,103605,78698,24906
11/13/16,14700,7611,7088
